ring,status,status_bin,status_known,longitude_capture,latitude_capture,sample_date,capture_year,capture_month,has_complete_cn_pair,has_complete_cnh_pair
04258275,AU migrant,migrant,TRUE,167.744617,-45.414383,2024-10-14,2024,10,TRUE,TRUE
CP16140,NI migrant,migrant,TRUE,173.667221,-42.413402,2024-10-08,2024,10,TRUE,TRUE
CP16409,resident,resident,TRUE,172.431853,-43.845691,2024-10-02,2024,10,TRUE,TRUE
CP16446,AU migrant,migrant,TRUE,172.397899,-43.851742,2024-10-21,2024,10,TRUE,TRUE
CP16461,resident,resident,TRUE,173.681777,-42.390193,2024-10-07,2024,10,TRUE,TRUE
CP16470,resident,resident,TRUE,173.663729,-42.413163,2024-10-08,2024,10,TRUE,TRUE
CP16501,resident,resident,TRUE,173.031797,-41.120263,2024-10-05,2024,10,TRUE,TRUE
CP16507,resident,resident,TRUE,172.601856,-43.830575,2024-10-22,2024,10,TRUE,TRUE
CP16529,AU migrant,migrant,TRUE,170.48481,-43.880201,2024-10-12,2024,10,TRUE,TRUE
CP16533,AU migrant,migrant,TRUE,170.143316,-43.733096,2024-10-11,2024,10,TRUE,TRUE
CP16534,AU migrant,migrant,TRUE,170.145302,-43.731722,2024-10-11,2024,10,TRUE,TRUE
CP16536,SI migrant,migrant,TRUE,170.144062,-43.736643,2024-10-10,2024,10,TRUE,TRUE
CP16543,resident,resident,TRUE,173.033468,-41.123473,2024-10-04,2024,10,TRUE,TRUE
CP16609,SI migrant,migrant,TRUE,173.667221,-42.413402,2024-10-08,2024,10,TRUE,TRUE
CP16627,resident,resident,TRUE,172.684973,-43.82787,2024-10-01,2024,10,TRUE,TRUE
CP16628,resident,resident,TRUE,172.684973,-43.82787,2024-10-01,2024,10,TRUE,TRUE
CP16641,SI migrant,migrant,TRUE,173.011986,-40.992659,2024-10-05,2024,10,TRUE,TRUE
CP16642,AU migrant,migrant,TRUE,172.67954,-43.826875,2024-10-01,2024,10,TRUE,TRUE
CP16643,AU migrant,migrant,TRUE,172.67954,-43.826875,2024-10-01,2024,10,TRUE,TRUE
CP16652,resident,resident,TRUE,173.031797,-41.120263,2024-10-04,2024,10,TRUE,TRUE
CP16655,AU migrant,migrant,TRUE,170.144062,-43.736643,2024-10-10,2024,10,TRUE,TRUE
CP16656,AU migrant,migrant,TRUE,170.146122,-43.727942,2024-10-11,2024,10,TRUE,TRUE
